,회사,산업,사원수,연봉
125,한국과학기술기획평가원,공기업·공공기관,236,3175
126,현대차증권,증권·보험·카드,698,5869
127,대림산업,건설·시공·토목·조경,4795,5350
128,미래에셋대우,은행·금융,3993,6426
129,포스코,자동차·조선·철강·항공,17550,4983
130,유수홀딩스,공기업·공공기관,19,5462
131,삼성전기,전기·전자·제어,34374,5922
132,탑엔지니어링,기계·기계설비,332,2975
133,데브시스터즈,게임·애니메이션,170,4350
134,한국건설기술연구원,공기업·공공기관,710,4766
135,주택도시보증공사,은행·금융,779,3650
136,DB금융투자,은행·금융,756,6250
137,한국기업데이터,컨설팅·연구·조사,336,3628
138,농업협동조합중앙회,식품가공,16000,6100
139,현대카드,은행·금융,2229,4301
140,한양,건설·시공·토목·조경,639,6333
141,한국표준과학연구원,공기업·공공기관,500,2966
142,카카오엠,연예·엔터테인먼트,201,4675
143,토비스,반도체·디스플레이·광학,240,5540
144,한국기계연구원,공기업·공공기관,382,3600
145,코리안리재보험,은행·금융,369,5500
146,에스엘,자동차·조선·철강·항공,12200,5681
147,비씨카드,증권·보험·카드,857,4727
148,하이투자증권,은행·금융,850,6366
149,교보증권,은행·금융,918,5937
150,솔탑,솔루션·SI·CRM·ERP,90,4205
151,현대엔지니어링,건설·시공·토목·조경,5755,6856
152,에너지경제연구원,공기업·공공기관,180,3050
153,티몬,쇼핑몰·오픈마켓·소셜커머스,1000,4354
154,이마트,백화점·유통·도소매,24984,6064
155,한국직업능력개발원,공기업·공공기관,161,2947
156,대한적십자사,공기업·공공기관,3479,4400
157,경남은행,은행·금융,2487,4766
158,넥상스코리아,전기·전자·제어,143,4833
159,아이비케이투자증권,은행·금융,675,4605
160,한국씨티은행,은행·금융,3498,5030
161,엘에스전선,전기·전자·제어,1920,4000
162,다함이텍,전기·전자·제어,8,3400
163,제일기획,광고·홍보·전시,1368,4838
164,카페24,솔루션·SI·CRM·ERP,1000,4158
165,국방기술품질원,공기업·공공기관,716,4033
166,현대오일뱅크,화학·에너지·환경,1930,5633
167,광주과학기술원,컨설팅·연구·조사,438,2341
168,에스코어,공기업·공공기관,220,5473
169,한라시멘트,화학·에너지·환경,497,4100
170,삼천리,화학·에너지·환경,821,3500
171,신한금융지주회사,은행·금융,160,9500
172,새마을금고중앙회,은행·금융,800,4860
173,에이디테크놀로지,반도체·디스플레이·광학,140,3600
174,재외동포재단,컨설팅·연구·조사,78,3762
175,노루페인트,화학·에너지·환경,774,5466
176,멜파스,모바일·APP,41,4473
177,컨버즈,목재·제지·가구,30,4900
178,부전전자,전기·전자·제어,400,4000
179,한독모터스,자동차·조선·철강·항공,800,2943
180,국민은행,은행·금융,16902,6145
181,한양증권,은행·금융,328,10000
182,하나자산신탁,부동산·중개·임대,176,8000
183,네이버아이앤에스,포털·컨텐츠·커뮤니티,150,2716
184,유진투자증권,은행·금융,771,6525
185,에스케이브로드밴드,네트워크·통신서비스,2334,6298
186,케이비국민카드,은행·금융,1578,5884
187,쿠쿠홀딩스,전기·전자·제어,1300,4100
188,폴루스바이오팜,전기·전자·제어,6,3600
189,이베스트투자증권,은행·금융,500,5544
190,옐로페이,솔루션·SI·CRM·ERP,14,4311
