,회사,산업,사원수,연봉
3636,에이케이아이에스,솔루션·SI·CRM·ERP,170,4335
3637,더가든오브내추럴솔루션,생활화학·화장품,110,3850
3638,에스지엔지,자동차·조선·철강·항공,71,3254
3639,샤니,식품가공,1425,3900
3640,태정산업,전기·전자·제어,50,4450
3641,한국아이비엠테크니컬솔루션,컴퓨터·하드웨어·장비,240,3789
3642,아성글로벌,전기·전자·제어,9,2800
3643,날리지포인트,솔루션·SI·CRM·ERP,35,2851
3644,엠누리,모바일·APP,5,2266
3645,애드워드,광고·홍보·전시,24,3750
3646,한국교육학술정보원,공기업·공공기관,208,3967
3647,한살림서울소비자생활협동조합,공기업·공공기관,759,5000
3648,위드굿피플,콜센터·아웃소싱·기타,240,3000
3649,우주일렉트로닉스,전기·전자·제어,427,4566
3650,매일경제티브이,방송·케이블·프로덕션,42,3850
3651,동아베스텍,전기·전자·제어,136,3866
3652,대주산업,생활용품·소비재·기타,138,1700
3653,대일정공,자동차·조선·철강·항공,136,4500
3654,네오액트,포털·컨텐츠·커뮤니티,37,3900
3655,비욘드테크,컴퓨터·하드웨어·장비,78,3361
3656,에이앤아이,반도체·디스플레이·광학,225,3611
3657,데크카본,자동차·조선·철강·항공,67,3000
3658,대교홀딩스,컨설팅·연구·조사,40,3700
3659,이화텔레콤,네트워크·통신서비스,140,2375
3660,자안그룹,섬유·의류·패션,42,4275
3661,오피유커스,학원·어학원·교육원,17,3200
3662,아리바이오,제약·보건·바이오,57,4220
3663,한국기계전기전자시험연구원,공기업·공공기관,666,2656
3664,이에치코어,솔루션·SI·CRM·ERP,20,5500
3665,다래파크텍,전기·전자·제어,120,4078
3666,아란타,정보보안,15,3500
3667,한국아즈빌,전기·전자·제어,133,5550
3668,엠웍스,솔루션·SI·CRM·ERP,15,3325
3669,엔프라니,생활화학·화장품,89,3360
3670,에이치솔루션,솔루션·SI·CRM·ERP,5,5544
3671,로옴세미컨덕터코리아,전기·전자·제어,139,2900
3672,인포웍스,컴퓨터·하드웨어·장비,31,3300
3673,동은정보기술,솔루션·SI·CRM·ERP,73,4318
3674,에이넷시스템,네트워크·통신서비스,7,1800
3675,엑소,쇼핑몰·오픈마켓·소셜커머스,7,1800
3676,엣나우,광고·홍보·전시,11,2300
3677,사이넥스,제약·보건·바이오,106,4625
3678,데이세븐,모바일·APP,41,3439
3679,삼양데이타시스템,솔루션·SI·CRM·ERP,180,4544
3680,나노텍,반도체·디스플레이·광학,28,4600
3681,건우통신,네트워크·통신서비스,32,3114
3682,파이낸셜데이타시스템,솔루션·SI·CRM·ERP,80,4805
3683,인프라웨어테크놀러지,생활화학·화장품,10,3993
3684,한국알프스,전기·전자·제어,787,4180
3685,타이어투데이,정비·A/S·카센터,14,2800
3686,호원,자동차·조선·철강·항공,412,3800
3687,에버로지스,물류·운송·배송,2,1800
3688,키미데이타,솔루션·SI·CRM·ERP,90,3850
3689,MCC홀딩스,컨설팅·연구·조사,6,2500
3690,키엔스코리아,백화점·유통·도소매,191,2500
3691,무영씨엠건축사사무소,건축·설비·환경,510,3480
3692,샬롬엔지니어링,전기·전자·제어,37,3150
3693,한국도자기,금속·재료·자재,335,2860
3694,뱅크웨어글로벌,솔루션·SI·CRM·ERP,327,6108
3695,시너지파트너스,은행·금융,26,5316
3696,한국렌탈,렌탈·임대·리스,150,3750
3697,시스테크놀로지,전기·전자·제어,15,5100
3698,넓은벌동쪽,방송·케이블·프로덕션,37,3200
3699,호미화방,백화점·유통·도소매,35,2400
3700,모다이노칩,전기·전자·제어,515,3100
3701,애버커스,솔루션·SI·CRM·ERP,100,3877
3702,크린토피아,생활용품·소비재·기타,530,3850
3703,타메네트웍스,쇼핑몰·오픈마켓·소셜커머스,30,2400
3704,원일홀딩스,컨설팅·연구·조사,10,3700
3705,멜로디코리아,백화점·유통·도소매,4,3600
3706,더유니파이,솔루션·SI·CRM·ERP,30,4533
3707,칼자이스,전기·전자·제어,200,4200
3708,두리컴미디어,포털·컨텐츠·커뮤니티,15,2150
3709,따벨라,무역·상사,21,3433
3710,파나시아,자동차·조선·철강·항공,281,3404
3711,모니터랩,정보보안,80,3547
3712,쌍용소프트웨어,솔루션·SI·CRM·ERP,12,2800
3713,헬스원,스포츠·여가·레저,30,2133
3714,정우정보통신,네트워크·통신서비스,9,1800
3715,게임물관리위원회,공기업·공공기관,80,3100
3716,킴보코리아,백화점·유통·도소매,17,2600
3717,중앙일보엠앤피,출판·인쇄·사진,324,2250
3718,문화일보,신문·잡지·언론사,296,5000
3719,리더스옥션,부동산·중개·임대,20,2800
3720,순테크솔루션,컴퓨터·하드웨어·장비,20,1750
3721,유니드,광고·홍보·전시,18,1800
3722,제이비티,솔루션·SI·CRM·ERP,41,3517
3723,비기닝리테일,쇼핑몰·오픈마켓·소셜커머스,70,2380
3724,텍트원,솔루션·SI·CRM·ERP,15,4645
3725,성창오토텍,자동차·조선·철강·항공,204,2900
3726,이공감,솔루션·SI·CRM·ERP,20,3983
3727,필미디어넷,컴퓨터·하드웨어·장비,7,4500
3728,에듀라인,학원·어학원·교육원,30,2880
3729,미르나인,웹에이전시,28,3007
3730,익스트러스,정보보안,20,5175
3731,디자인실버피쉬,디자인·CAD,12,3200
3732,이원정보기술,컴퓨터·하드웨어·장비,56,3907
3733,포어링크,컴퓨터·하드웨어·장비,145,3594
3734,한국통신인터넷기술,정보보안,145,2985
3735,넥스젠엔씨지,IT컨설팅,19,4410
3736,태림포장,목재·제지·가구,1043,4050
3737,비트나인,솔루션·SI·CRM·ERP,50,4658
3738,마이셀럽스,포털·컨텐츠·커뮤니티,72,4600
3739,골프존카운티자산관리,스포츠·여가·레저,37,3600
3740,오에이에스와이에스,IT컨설팅,26,2530
3741,미라지웍스,정보보안,50,4272
3742,유한책임회사앤서스랩코리아,게임·애니메이션,176,4000
3743,조아골프,스포츠·여가·레저,11,2150
3744,엠파크,백화점·유통·도소매,34,4810
3745,에스엘큐브,정보보안,5,5000
3746,롯데피에스넷,공기업·공공기관,25,3325
3747,큐버,네트워크·통신서비스,48,4428
3748,네이미,솔루션·SI·CRM·ERP,16,4030
3749,그립,솔루션·SI·CRM·ERP,40,4231
3750,로우코리아,컴퓨터·하드웨어·장비,49,4550
3751,광고천하,광고·홍보·전시,80,2650
3752,메이드인리얼,솔루션·SI·CRM·ERP,35,2600
3753,에이치엠지코리아,백화점·유통·도소매,27,4100
3754,명성공업,자동차·조선·철강·항공,130,4200
3755,흥아해운,물류·운송·배송,314,5225
3756,디엔아이,웹에이전시,28,3155
3757,얍컴퍼니,솔루션·SI·CRM·ERP,55,3674
3758,오픈트레이드,은행·금융,12,3666
3759,펨트론,반도체·디스플레이·광학,175,3479
3760,동일그린시스,화학·에너지·환경,32,2300
3761,다이렉트컴즈,웨딩·상조·이벤트,110,3884
3762,에스에스알,정보보안,115,3323
3763,위너스오토메이션,전기·전자·제어,80,2800
3764,인우기술,솔루션·SI·CRM·ERP,56,3921
3765,그루브시스템즈,솔루션·SI·CRM·ERP,9,3975
3766,아이엠애드리퍼블릭,광고·홍보·전시,70,2206
3767,아이티에이엔에스,솔루션·SI·CRM·ERP,37,3815
3768,웹프라자,웹에이전시,12,2400
3769,폴리큐브,모바일·APP,9,3580
3770,유탑엔지니어링건축사사무소,건설·시공·토목·조경,440,5000
3771,대원전선,화학·에너지·환경,149,4900
3772,케이엔제이시스템,솔루션·SI·CRM·ERP,10,2881
3773,올댓휴먼,서치펌·헤드헌팅,1,5500
3774,남성해운,물류·운송·배송,250,3450
3775,스타뱅크,솔루션·SI·CRM·ERP,20,5390
3776,미래보고,섬유·의류·패션,15,2100
3777,테라시스,전기·전자·제어,25,3500
3778,이투온,솔루션·SI·CRM·ERP,30,4050
3779,빛스캔,정보보안,6,3100
3780,이키나게임즈,게임·애니메이션,23,2650
3781,젬스메디컬,제약·보건·바이오,90,4063
3782,롯데지알에스,음식료·외식·프랜차이즈,2202,7500
3783,한국전자인증,정보보안,100,3323
3784,한국신용카드결제,네트워크·통신서비스,60,4940
3785,케이씨티엘,전기·전자·제어,179,3060
3786,디비에이컨설팅,서치펌·헤드헌팅,400,2500
3787,레피니티브코리아,솔루션·SI·CRM·ERP,33,4825
3788,인터엠,전기·전자·제어,337,3072
3789,다나와컴퓨터,컴퓨터·하드웨어·장비,21,3600
3790,케이티엔에프,컴퓨터·하드웨어·장비,50,3000
3791,휴먼터치,부동산·중개·임대,31,3666
3792,모비릭스,게임·애니메이션,63,3380
3793,에스제이피플,섬유·의류·패션,60,3500
3794,웹비스타,웹에이전시,10,2667
3795,골든듀,섬유·의류·패션,232,2940
3796,태우,전기·전자·제어,52,3600
3797,에스엠인포메이션,컴퓨터·하드웨어·장비,23,2500
3798,한류에이아이센터,정보보안,72,4021
3799,선창아이티에스,목재·제지·가구,188,4850
3800,디지트론,전기·전자·제어,56,3700
3801,대신네트웍스,네트워크·통신서비스,9,4200
3802,청솔식품,식품가공,50,2433
3803,굿게이트,게임·애니메이션,12,2470
3804,텐핑거스,모바일·APP,34,3150
3805,배럴즈,섬유·의류·패션,150,3900
3806,유니젯,전기·전자·제어,23,3600
3807,한샘개발,콜센터·아웃소싱·기타,750,3200
3808,대우제약,제약·보건·바이오,270,2400
3809,시크릿다이렉트코리아,백화점·유통·도소매,105,5560
3810,한국터보기계,기계·기계설비,120,4125
3811,앤비젼,반도체·디스플레이·광학,64,7100
3812,이스플러스,솔루션·SI·CRM·ERP,5,5040
3813,서비스퀘어,공기업·공공기관,50,2582
3814,트윈클컴퍼니,학원·어학원·교육원,30,2000
3815,랄프로렌코리아,백화점·유통·도소매,336,7000
3816,엠일일사,컴퓨터·하드웨어·장비,9,3416
3817,에스엘컴퍼니,백화점·유통·도소매,9,2933
3818,자커,생활용품·소비재·기타,11,4500
3819,티엠씨케이,광고·홍보·전시,54,3100
3820,코스텍시스템,반도체·디스플레이·광학,60,4400
3821,바이옵트로,기계·기계설비,35,3375
3822,헬로월드,솔루션·SI·CRM·ERP,14,2725
3823,탈레스코리아,정보보안,15,4425
3824,에스비에스콘텐츠허브,공기업·공공기관,50,3461
3825,휴먼티에스에스,콜센터·아웃소싱·기타,2471,2850
3826,나비엠알오,쇼핑몰·오픈마켓·소셜커머스,50,4275
3827,성지건설,건설·시공·토목·조경,143,4500
3828,시사아카데미,학원·어학원·교육원,53,2766
3829,야마하뮤직코리아,백화점·유통·도소매,80,4707
3830,지티시스템,솔루션·SI·CRM·ERP,95,4417
3831,아이유노글로벌,방송·케이블·프로덕션,160,2737
3832,지앤티솔루션,솔루션·SI·CRM·ERP,42,3900
3833,씽크풀,포털·컨텐츠·커뮤니티,73,3625
3834,투이컨설팅,IT컨설팅,100,5546
3835,다큐,컴퓨터·하드웨어·장비,28,2900
3836,티오이십일,화학·에너지·환경,67,5016
3837,이코랜스,학원·어학원·교육원,60,3633
3838,아이비커리어,콜센터·아웃소싱·기타,960,2883
3839,성균관대학교,학교(초·중·고·대학·특수),1726,2600
3840,중소기업유통센터,공기업·공공기관,217,3514
3841,존슨매티카탈리스트코리아,자동차·조선·철강·항공,60,3300
3842,케이티엠하우스,네트워크·통신서비스,114,5067
3843,비즈테크파트너스,공기업·공공기관,616,4348
3844,데이터투테크놀로지,솔루션·SI·CRM·ERP,30,4265
3845,바이오스타코리아,백화점·유통·도소매,62,5200
3846,한국에이버리,생활용품·소비재·기타,200,1300
3847,로얄앤컴퍼니,생활용품·소비재·기타,238,3683
3848,조광페인트,화학·에너지·환경,490,1700
3849,라이브워크,생활용품·소비재·기타,31,2400
3850,비토플러스,정보보안,23,3962
3851,중앙항업,건설·시공·토목·조경,1,2966
3852,플레로게임즈,게임·애니메이션,120,4032
3853,무문아이엔씨,웹에이전시,20,4850
3854,링크정보통신,정보보안,37,3575
3855,경동사,제약·보건·바이오,233,3461
3856,리더스헬스케어,제약·보건·바이오,150,3600
3857,에프알텍,전기·전자·제어,60,3600
3858,바인테크,컴퓨터·하드웨어·장비,50,4314
3859,인터콘시스템스,전기·전자·제어,106,4268
3860,스템랩,제약·보건·바이오,35,3400
3861,에이케이시스,컴퓨터·하드웨어·장비,17,3175
3862,엘비루셈,반도체·디스플레이·광학,546,5300
3863,와이더블유,렌탈·임대·리스,19,4032
3864,미디어블링,출판·인쇄·사진,50,3800
3865,백조씽크,금속·재료·자재,130,3200
3866,엘시시,생활화학·화장품,125,2300
3867,라이크웹,웹에이전시,15,2050
3868,선도소프트,솔루션·SI·CRM·ERP,42,3480
3869,디투컴퍼니,포털·컨텐츠·커뮤니티,7,3350
3870,레디엔터테인먼트,연예·엔터테인먼트,85,3300
3871,소원네트웍스,정보보안,13,3730
3872,아이피케이,화학·에너지·환경,234,6066
3873,비엔씨피,포털·컨텐츠·커뮤니티,50,3400
3874,락소홀딩스,호텔·여행·항공,79,2900
3875,제이제이나인,섬유·의류·패션,10,2800
3876,페이머스워커,게임·애니메이션,15,2441
3877,토스랩,솔루션·SI·CRM·ERP,31,4272
3878,트리비아,인테리어·자재,25,2781
3879,미래아이엔텍,솔루션·SI·CRM·ERP,123,4797
3880,씨아이피시스템,솔루션·SI·CRM·ERP,30,4564
3881,리치푸드,음식료·외식·프랜차이즈,50,4300
3882,모비데이즈,광고·홍보·전시,70,6525
3883,넷아이디,솔루션·SI·CRM·ERP,33,3028
3884,제이엠피코리아,콜센터·아웃소싱·기타,362,2416
3885,텐핑,포털·컨텐츠·커뮤니티,95,3371
3886,씨아이템프러리,콜센터·아웃소싱·기타,583,2600
3887,올라이트라이프,전기·전자·제어,60,4000
3888,타이코에이엠피,공기업·공공기관,1373,2900
3889,성화아이앤티,솔루션·SI·CRM·ERP,14,2450
3890,미디어온,웹에이전시,8,3700
3891,나라아이넷,컴퓨터·하드웨어·장비,60,2400
3892,유에스티알,백화점·유통·도소매,15,2800
3893,모아비,백화점·유통·도소매,6,3000
3894,에스피엠씨,전기·전자·제어,149,4230
3895,와이플러스,컴퓨터·하드웨어·장비,7,4133
3896,한국사학진흥재단,공기업·공공기관,79,3816
3897,애니호스트,웹에이전시,20,2480
3898,허브테크,전기·전자·제어,34,5300
3899,리엔에스티,서치펌·헤드헌팅,10,2500
3900,시리오,포털·컨텐츠·커뮤니티,11,3650
3901,윕스,포털·컨텐츠·커뮤니티,430,3784
3902,캐드윈시스템,솔루션·SI·CRM·ERP,32,3131
3903,고려대학교산학협력단,학교(초·중·고·대학·특수),371,3133
3904,엔지스소프트,컴퓨터·하드웨어·장비,12,5500
3905,한국보건의료인국가시험원,공기업·공공기관,103,3750
3906,국방전직교육원,공기업·공공기관,26,3000
3907,넥스트업,백화점·유통·도소매,36,2600
3908,빛나는순간,광고·홍보·전시,5,2500
3909,세종대학교,학교(초·중·고·대학·특수),162,2714
3910,이노컴퍼니,컴퓨터·하드웨어·장비,39,2697
3911,체리부로,식품가공,515,5900
3912,와이즈박스,네트워크·통신서비스,26,3300
3913,베뉴지,백화점·유통·도소매,167,2875
3914,시큐브,정보보안,100,3607
3915,대성산업,화학·에너지·환경,530,3525
3916,파파스,무역·상사,15,2200
3917,이웃닷컴,솔루션·SI·CRM·ERP,9,2630
3918,앤앤에스피,네트워크·통신서비스,80,3289
3919,쎄듀,출판·인쇄·사진,34,3500
3920,한국미즈노,백화점·유통·도소매,109,3285
3921,지네트웍스,솔루션·SI·CRM·ERP,6,3440
3922,푸디노에프앤디,식품가공,35,3600
3923,오로라월드,섬유·의류·패션,130,3908
3924,디알젬,제약·보건·바이오,203,3878
3925,엔파인,포털·컨텐츠·커뮤니티,55,3688
3926,국제식품,식품가공,275,1900
3927,삼우이엠씨,건설·시공·토목·조경,50,2900
3928,청호컴넷,컴퓨터·하드웨어·장비,54,4034
3929,비피앤솔루션,솔루션·SI·CRM·ERP,18,4216
3930,엔지온,반도체·디스플레이·광학,134,5200
3931,한국양성평등교육진흥원,공기업·공공기관,119,5500
3932,엔엑스테크놀로지,솔루션·SI·CRM·ERP,29,2100
3933,엠쏘,네트워크·통신서비스,22,4000
3934,세아네트웍스,네트워크·통신서비스,38,4302
3935,윌비스,무역·상사,200,3920
3936,디아이동일,섬유·의류·패션,300,2300
3937,이케이맨파워,서치펌·헤드헌팅,1536,3013
3938,세안이엔씨,건설·시공·토목·조경,243,3100
3939,제이알에스씨,솔루션·SI·CRM·ERP,8,6175
3940,에스와이에듀,학습지·방문교육,800,3200
3941,데이터엔지니어스랩,솔루션·SI·CRM·ERP,10,3700
3942,세정,섬유·의류·패션,835,4810
3943,비즈니스워치,신문·잡지·언론사,50,3500
3944,린컴퍼니,섬유·의류·패션,120,3525
3945,미원화학,화학·에너지·환경,200,4366
3946,스마트구루,IT컨설팅,20,3589
3947,골마켓,쇼핑몰·오픈마켓·소셜커머스,18,3100
3948,와이씨네트웍스,물류·운송·배송,20,2900
3949,산웅개발,콜센터·아웃소싱·기타,70,2500
3950,라이브플렉스,섬유·의류·패션,24,3143
3951,페퍼민트,출판·인쇄·사진,10,3400
3952,토피아아카데미,학원·어학원·교육원,100,3300
3953,미래넷,솔루션·SI·CRM·ERP,10,3587
3954,모컨스,네트워크·통신서비스,9,4000
3955,스포틱미디어웨어,쇼핑몰·오픈마켓·소셜커머스,4,2500
3956,두온시스템,전기·전자·제어,44,3500
3957,오디오겔러리,무역·상사,35,2650
3958,더조은컴퓨터아트학원,학원·어학원·교육원,15,3433
3959,파로스네트웍스,정보보안,19,3345
3960,엔지아이테크,솔루션·SI·CRM·ERP,16,3566
3961,탑보이,쇼핑몰·오픈마켓·소셜커머스,20,2050
3962,국제신문,신문·잡지·언론사,200,3150
3963,예람,솔루션·SI·CRM·ERP,100,3006
3964,윌비솔루션,IT컨설팅,60,4944
3965,국가평생교육진흥원,공기업·공공기관,122,5050
3966,유콘시스템,전기·전자·제어,72,3807
3967,다이시스,모바일·APP,30,3171
3968,디지털에셋,솔루션·SI·CRM·ERP,6,4706
3969,라이더정보기술,컴퓨터·하드웨어·장비,5,1700
3970,롯데자이언츠,공기업·공공기관,57,2980
3971,평택컴퓨터회계교육센터,학원·어학원·교육원,13,4500
3972,석빙고,식품가공,11,2800
3973,에르메스로직스,물류·운송·배송,97,3200
3974,이포넷,솔루션·SI·CRM·ERP,148,3737
3975,한국과학창의재단,공기업·공공기관,179,2000
3976,아사아블로이코리아,금속·재료·자재,261,3900
3977,에이앤티에스,공기업·공공기관,118,4100
3978,토페스,컴퓨터·하드웨어·장비,96,3066
3979,피엘지정보기술,디자인·CAD,10,3300
3980,크레이지11,쇼핑몰·오픈마켓·소셜커머스,23,3000
3981,이젠코리아,전기·전자·제어,500,2400
3982,유일에너테크,기계·기계설비,73,5500
3983,구주제약,제약·보건·바이오,230,3415
3984,유니켐,섬유·의류·패션,304,5500
3985,호현시스템,네트워크·통신서비스,8,3300
3986,디앤에스테크놀로지,전기·전자·제어,19,4500
3987,이지안,웹에이전시,15,3600
3988,인선모터스,자동차·조선·철강·항공,116,5500
3989,뉴옵틱스,전기·전자·제어,130,4320
3990,스탠다드인터내셔널,생활용품·소비재·기타,150,4000
3991,라인엠앤디,광고·홍보·전시,10,2900
3992,이씨플라자,포털·컨텐츠·커뮤니티,75,3598
3993,헬로서치,서치펌·헤드헌팅,250,2550
3994,엠에스에스펄프,목재·제지·가구,16,4500
3995,시드아이티,솔루션·SI·CRM·ERP,135,2688
3996,인포메이드,광고·홍보·전시,10,3300
3997,한양정보기술,솔루션·SI·CRM·ERP,13,3473
3998,티지,IT컨설팅,75,6750
3999,이씨파트너스,백화점·유통·도소매,22,3200
4000,유인컴퍼니,백화점·유통·도소매,10,2480
4001,센클라우드,포털·컨텐츠·커뮤니티,50,3262
4002,에스엘솔루션,솔루션·SI·CRM·ERP,30,4711
4003,매니저소사이어티,학원·어학원·교육원,15,3500
4004,인피니크,솔루션·SI·CRM·ERP,4,1700
4005,메이크스타,포털·컨텐츠·커뮤니티,32,2800
4006,통일연구원,공기업·공공기관,80,3800
4007,인베트,솔루션·SI·CRM·ERP,11,3500
4008,비너스컨설팅,콜센터·아웃소싱·기타,409,2300
4009,더블유에스엠티,반도체·디스플레이·광학,11,2400
4010,리얼투데이,컨설팅·연구·조사,30,3000
4011,상보,공기업·공공기관,305,3657
4012,한주통신,네트워크·통신서비스,53,2300
4013,한국엠티에스,전기·전자·제어,7,3000
4014,연세대학교,공기업·공공기관,260,2705
4015,인팩일렉스,자동차·조선·철강·항공,204,4300
4016,남영전구,생활용품·소비재·기타,113,4200
4017,한성정공,기계·기계설비,30,3000
4018,현대드림투어,호텔·여행·항공,150,3800
4019,불스원,정비·A/S·카센터,256,4800
4020,아홉모바일시큐리티,정보보안,30,2533
4021,동화기연,자동차·조선·철강·항공,50,3700
4022,엠에스웨이,전기·전자·제어,40,4200
4023,네오넥스소프트,솔루션·SI·CRM·ERP,76,4369
4024,열린기술,솔루션·SI·CRM·ERP,130,4167
4025,한국뉴미디어,출판·인쇄·사진,50,3966
4026,이랜드중국패션디자인,디자인·CAD,132,2500
4027,에스제이듀코,섬유·의류·패션,180,3671
4028,한국엔지니어링협회,공기업·공공기관,71,2900
4029,에스엠케이티앤아이,음식료·외식·프랜차이즈,223,5765
4030,오픈소스컨설팅,IT컨설팅,31,4846
4031,맨테크윈,서치펌·헤드헌팅,200,3178
4032,에어필립,호텔·여행·항공,71,7250
4033,엘투에이치,정보보안,20,3260
4034,비젠아이,솔루션·SI·CRM·ERP,24,2900
4035,리스트,솔루션·SI·CRM·ERP,18,2966
4036,한국행정연구원,공기업·공공기관,83,4450
4037,상상인테크,솔루션·SI·CRM·ERP,4,3600
4038,에스파워,전기·전자·제어,31,3100
4039,카닥코퍼레이션,쇼핑몰·오픈마켓·소셜커머스,64,3900
4040,크리노바,전기·전자·제어,10,3225
4041,아코즈테크놀러지스,게임·애니메이션,15,5922
4042,봉봉,포털·컨텐츠·커뮤니티,63,3150
4043,위드네트웍스,정보보안,70,3471
4044,젬백스링크,솔루션·SI·CRM·ERP,121,4028
4045,쥬엔,쇼핑몰·오픈마켓·소셜커머스,8,2690
4046,에버온,렌탈·임대·리스,15,4000
4047,보람씨엔에스,컴퓨터·하드웨어·장비,4,2700
4048,탐라엔씨,전기·전자·제어,11,2350
4049,한전산업개발,콜센터·아웃소싱·기타,2913,3950
4050,게임데이,게임·애니메이션,3,2418
4051,알테어엔지니어링,솔루션·SI·CRM·ERP,1800,4500
4052,코아비스,자동차·조선·철강·항공,241,5000
4053,제이이노텍,반도체·디스플레이·광학,14,3600
4054,에이쓰리,정보보안,150,3766
4055,레드로버,컴퓨터·하드웨어·장비,25,3993
4056,브링스코리아,물류·운송·배송,514,2700
4057,팝펀딩,포털·컨텐츠·커뮤니티,17,4566
4058,알마커뮤니케이션,웹에이전시,12,3257
4059,제이준코스메틱,화학·에너지·환경,122,2733
4060,보험연수원,공기업·공공기관,40,3100
4061,케이에스넷,전기·전자·제어,229,5204
4062,코리아에셋투자증권,은행·금융,205,8400
4063,와일리,웹에이전시,94,3843
4064,석림랩텍,무역·상사,35,5333
4065,네오브이,포털·컨텐츠·커뮤니티,120,3750
4066,서울관광마케팅,공기업·공공기관,121,2733
4067,키다리식품,음식료·외식·프랜차이즈,286,5000
4068,웨딩앤아이엔씨,웨딩·상조·이벤트,130,3687
4069,그린조이,섬유·의류·패션,124,1700
4070,이현어패럴,백화점·유통·도소매,190,3600
4071,대구경북첨단의료산업진흥재단,제약·보건·바이오,290,3000
4072,생활의쓰임,생활용품·소비재·기타,45,2525
4073,리딩엠,학원·어학원·교육원,9,2400
4074,빌포스트,출판·인쇄·사진,147,3360
4075,한국이콜랩,화학·에너지·환경,120,3500
4076,실리콘마이터스,반도체·디스플레이·광학,140,4700
4077,용감한컴퍼니,모바일·APP,75,3381
4078,아이엔테크,솔루션·SI·CRM·ERP,6,3780
4079,푸르지오서비스,공기업·공공기관,132,3300
4080,한얼국제특허사무소,회계·세무·법무,90,4366
4081,신한정밀,전기·전자·제어,46,3466
4082,누네안과병원,제약·보건·바이오,100,3850
4083,선익시스템,기계·기계설비,180,3950
4084,대한홍삼,백화점·유통·도소매,15,2200
4085,유라이크,솔루션·SI·CRM·ERP,30,3855
4086,아이티베인,솔루션·SI·CRM·ERP,11,2500
4087,한탑,생활용품·소비재·기타,111,3100
4088,이노가드,솔루션·SI·CRM·ERP,35,4270
4089,봄바디어트랜스포테이숀코리아,자동차·조선·철강·항공,3,4500
4090,엘리소프트,컴퓨터·하드웨어·장비,20,2600
4091,로지포커스,물류·운송·배송,80,3372
4092,도아,광고·홍보·전시,45,2783
4093,인더스트리미디어,솔루션·SI·CRM·ERP,91,3744
4094,쿠팡페이,네트워크·통신서비스,18,3550
4095,스마트어스,정보보안,9,2857
4096,비엔케이시스템,솔루션·SI·CRM·ERP,192,4184
4097,일렉트로룩스코리아,백화점·유통·도소매,57,2400
4098,메이츠,솔루션·SI·CRM·ERP,10,3500
4099,코어잡,서치펌·헤드헌팅,20,2425
4100,그랜드관광호텔,호텔·여행·항공,174,3221
4101,에이치알맨파워그룹,컨설팅·연구·조사,120,2400
4102,에이프런티어,제약·보건·바이오,107,3856
4103,프렌켓,모바일·APP,6,2500
4104,메리케이코리아,콜센터·아웃소싱·기타,10,3957
4105,아주베스틸,자동차·조선·철강·항공,180,6500
4106,엠서클,쇼핑몰·오픈마켓·소셜커머스,210,3577
4107,유니위스,솔루션·SI·CRM·ERP,60,4854
4108,지앤비교육,출판·인쇄·사진,84,2969
4109,나비타월드,백화점·유통·도소매,48,3625
4110,후윈즈,서치펌·헤드헌팅,11,2600
4111,유센로지스틱스코리아,물류·운송·배송,90,3000
4112,다이닝팩토리,음식료·외식·프랜차이즈,10,3600
4113,스튜디오헤이데이,웹에이전시,31,2849
4114,한국직업개발원,포털·컨텐츠·커뮤니티,47,3950
4115,인터스텔라,출판·인쇄·사진,50,4330
4116,서일코퍼레이션,물류·운송·배송,30,2966
4117,포디리플레이코리아,솔루션·SI·CRM·ERP,100,4295
4118,삼양금속,자동차·조선·철강·항공,83,4050
4119,농업회사법인포프리,식품가공,179,3700
4120,네오티스,기계·기계설비,200,3100
4121,피앰아이,컨설팅·연구·조사,50,4733
4122,에이제이전시몰,백화점·유통·도소매,50,3347
4123,재패니안,호텔·여행·항공,9,3000
4124,그레이트북스,출판·인쇄·사진,120,3280
4125,에스앤엠미디어,출판·인쇄·사진,30,3460
4126,제인소프트,솔루션·SI·CRM·ERP,24,4687
4127,크라제인터내셔날,학습지·방문교육,50,3400
4128,애드잇,솔루션·SI·CRM·ERP,12,2600
4129,금영제너럴,기계·기계설비,230,5450
4130,케이티엠앤에스,백화점·유통·도소매,2503,3283
4131,솔빛시스템,솔루션·SI·CRM·ERP,24,4025
4132,하바스코리아,광고·홍보·전시,60,3333
4133,유피시앤에스,솔루션·SI·CRM·ERP,14,3808
4134,메디앤피트,스포츠·여가·레저,20,4000
4135,청강학원,학교(초·중·고·대학·특수),100,2300
4136,제이티친애저축은행,은행·금융,498,3168
4137,서울디자인재단,공기업·공공기관,162,3600
4138,아이씨푸드,식품가공,49,2800
4139,에이알,기계·기계설비,100,4500
4140,코리아인스트루먼트,반도체·디스플레이·광학,267,5500
4141,넥서스커뮤니티,솔루션·SI·CRM·ERP,90,3231
4142,컴텍시스템,네트워크·통신서비스,4,2133
4143,미디어윌네트웍스,포털·컨텐츠·커뮤니티,102,3991
4144,바이콤,전기·전자·제어,8,3000
4145,포와인드시스템,컴퓨터·하드웨어·장비,10,2400
4146,에이플러스라이프,웨딩·상조·이벤트,45,3575
4147,유니켐,백화점·유통·도소매,26,4250
4148,한국이러닝개발원,솔루션·SI·CRM·ERP,19,3200
4149,인천대교,콜센터·아웃소싱·기타,31,7000
4150,청정화푸드,식품가공,18,2800
4151,린나이코리아,기계·기계설비,980,4558
